latitude,longitude,data_hora_rodada,data_hora_previsao,valor,id_modelo_nwp
-12.75,-44.75,2025-05-11T00:00:00Z,2025-05-20T09:00:00Z,331.85,GFS
-12.75,-44.75,2025-05-11T00:00:00Z,2025-05-20T12:00:00Z,542.45,GFS
-12.75,-44.75,2025-05-11T00:00:00Z,2025-05-20T15:00:00Z,753.04,GFS
-12.75,-44.75,2025-05-11T00:00:00Z,2025-05-20T18:00:00Z,750.6,GFS
-12.75,-44.75,2025-05-11T00:00:00Z,2025-05-20T21:00:00Z,748.17,GFS
-12.75,-44.75,2025-05-11T00:00:00Z,2025-05-21T00:00:00Z,745.73,GFS
-12.75,-44.75,2025-05-11T00:00:00Z,2025-05-21T03:00:00Z,569.64,GFS
-12.75,-44.75,2025-05-11T00:00:00Z,2025-05-21T06:00:00Z,393.55,GFS
-12.75,-44.75,2025-05-11T00:00:00Z,2025-05-21T09:00:00Z,217.46,GFS
-12.75,-44.75,2025-05-11T00:00:00Z,2025-05-21T12:00:00Z,181.21,GFS
-12.75,-44.75,2025-05-11T00:00:00Z,2025-05-21T15:00:00Z,144.97,GFS
-12.75,-44.75,2025-05-11T00:00:00Z,2025-05-21T18:00:00Z,108.72,GFS
-12.75,-44.75,2025-05-11T00:00:00Z,2025-05-21T21:00:00Z,72.48,GFS
-12.75,-44.75,2025-05-11T00:00:00Z,2025-05-22T00:00:00Z,36.24,GFS
-12.75,-44.75,2025-05-11T00:00:00Z,2025-05-22T03:00:00Z,0,GFS
-12.75,-44.75,2025-05-11T00:00:00Z,2025-05-22T06:00:00Z,0,GFS
-12.75,-44.75,2025-05-11T00:00:00Z,2025-05-22T09:00:00Z,0,GFS
-12.75,-44.75,2025-05-11T00:00:00Z,2025-05-22T12:00:00Z,0,GFS
-12.75,-44.75,2025-05-11T00:00:00Z,2025-05-22T15:00:00Z,0,GFS
-12.75,-44.75,2025-05-11T00:00:00Z,2025-05-22T18:00:00Z,0,GFS
-12.75,-44.75,2025-05-11T00:00:00Z,2025-05-22T21:00:00Z,0,GFS
-12.75,-44.75,2025-05-11T00:00:00Z,2025-05-23T00:00:00Z,40.89,GFS
-12.75,-44.75,2025-05-11T00:00:00Z,2025-05-23T03:00:00Z,81.77,GFS
-12.75,-44.75,2025-05-11T00:00:00Z,2025-05-23T06:00:00Z,122.66,GFS
-12.75,-44.75,2025-05-11T00:00:00Z,2025-05-23T09:00:00Z,334.45,GFS
-12.75,-44.75,2025-05-11T00:00:00Z,2025-05-23T12:00:00Z,546.23,GFS
-12.75,-44.75,2025-05-11T00:00:00Z,2025-05-23T15:00:00Z,758.02,GFS
-12.75,-44.75,2025-05-11T00:00:00Z,2025-05-23T18:00:00Z,755.51,GFS
-12.75,-44.75,2025-05-11T00:00:00Z,2025-05-23T21:00:00Z,752.99,GFS
-12.75,-44.75,2025-05-11T00:00:00Z,2025-05-24T00:00:00Z,750.48,GFS
-12.75,-44.75,2025-05-11T00:00:00Z,2025-05-24T03:00:00Z,572.69,GFS
-12.75,-44.75,2025-05-11T00:00:00Z,2025-05-24T06:00:00Z,394.89,GFS
-12.75,-44.75,2025-05-11T00:00:00Z,2025-05-24T09:00:00Z,217.1,GFS
-12.75,-44.75,2025-05-11T00:00:00Z,2025-05-24T12:00:00Z,180.92,GFS
-12.75,-44.75,2025-05-11T00:00:00Z,2025-05-24T15:00:00Z,144.74,GFS
-12.75,-44.75,2025-05-11T00:00:00Z,2025-05-24T18:00:00Z,108.56,GFS
-12.75,-44.75,2025-05-11T00:00:00Z,2025-05-24T21:00:00Z,72.37,GFS
-12.75,-44.75,2025-05-11T00:00:00Z,2025-05-25T00:00:00Z,36.19,GFS
-12.75,-44.75,2025-05-11T00:00:00Z,2025-05-25T03:00:00Z,0,GFS
-12.75,-44.75,2025-05-11T00:00:00Z,2025-05-25T06:00:00Z,0,GFS
-12.75,-44.75,2025-05-11T00:00:00Z,2025-05-25T09:00:00Z,0,GFS
-12.75,-44.75,2025-05-11T00:00:00Z,2025-05-25T12:00:00Z,0,GFS
-12.75,-44.75,2025-05-11T00:00:00Z,2025-05-25T15:00:00Z,0,GFS
-12.75,-44.75,2025-05-11T00:00:00Z,2025-05-25T18:00:00Z,0,GFS
-12.75,-44.75,2025-05-11T00:00:00Z,2025-05-25T21:00:00Z,0,GFS
-12.75,-44.75,2025-05-11T00:00:00Z,2025-05-26T00:00:00Z,40.86,GFS
-12.75,-44.75,2025-05-11T00:00:00Z,2025-05-26T03:00:00Z,81.73,GFS
-12.75,-44.75,2025-05-11T00:00:00Z,2025-05-26T06:00:00Z,122.59,GFS
-12.75,-44.75,2025-05-11T00:00:00Z,2025-05-26T09:00:00Z,334.45,GFS
-12.75,-44.75,2025-05-11T00:00:00Z,2025-05-26T12:00:00Z,546.3,GFS
-12.75,-44.75,2025-05-11T00:00:00Z,2025-05-26T15:00:00Z,758.16,GFS
-12.75,-44.75,2025-05-11T00:00:00Z,2025-05-26T18:00:00Z,755.43,GFS
-12.75,-44.75,2025-05-11T00:00:00Z,2025-05-26T21:00:00Z,752.71,GFS
-12.75,-44.75,2025-05-11T00:00:00Z,2025-05-27T00:00:00Z,749.98,GFS
-12.75,-44.75,2025-05-12T00:00:00Z,2025-05-12T01:00:00Z,0,GFS
-12.75,-44.75,2025-05-12T00:00:00Z,2025-05-12T02:00:00Z,0,GFS
-12.75,-44.75,2025-05-12T00:00:00Z,2025-05-12T03:00:00Z,0,GFS
-12.75,-44.75,2025-05-12T00:00:00Z,2025-05-12T04:00:00Z,0,GFS
-12.75,-44.75,2025-05-12T00:00:00Z,2025-05-12T05:00:00Z,0,GFS
-12.75,-44.75,2025-05-12T00:00:00Z,2025-05-12T06:00:00Z,0,GFS
-12.75,-44.75,2025-05-12T00:00:00Z,2025-05-12T07:00:00Z,0,GFS
-12.75,-44.75,2025-05-12T00:00:00Z,2025-05-12T08:00:00Z,0,GFS
-12.75,-44.75,2025-05-12T00:00:00Z,2025-05-12T09:00:00Z,0,GFS
-12.75,-44.75,2025-05-12T00:00:00Z,2025-05-12T10:00:00Z,10.78,GFS
-12.75,-44.75,2025-05-12T00:00:00Z,2025-05-12T11:00:00Z,58.52,GFS
-12.75,-44.75,2025-05-12T00:00:00Z,2025-05-12T12:00:00Z,127.52,GFS
-12.75,-44.75,2025-05-12T00:00:00Z,2025-05-12T13:00:00Z,660.42,GFS
-12.75,-44.75,2025-05-12T00:00:00Z,2025-05-12T14:00:00Z,727.06,GFS
-12.75,-44.75,2025-05-12T00:00:00Z,2025-05-12T15:00:00Z,770.26,GFS
-12.75,-44.75,2025-05-12T00:00:00Z,2025-05-12T16:00:00Z,790.64,GFS
-12.75,-44.75,2025-05-12T00:00:00Z,2025-05-12T17:00:00Z,787.87,GFS
-12.75,-44.75,2025-05-12T00:00:00Z,2025-05-12T18:00:00Z,762,GFS
-12.75,-44.75,2025-05-12T00:00:00Z,2025-05-12T19:00:00Z,409.5,GFS
-12.75,-44.75,2025-05-12T00:00:00Z,2025-05-12T20:00:00Z,299.56,GFS
-12.75,-44.75,2025-05-12T00:00:00Z,2025-05-12T21:00:00Z,208.14,GFS
-12.75,-44.75,2025-05-12T00:00:00Z,2025-05-12T22:00:00Z,156.1,GFS
-12.75,-44.75,2025-05-12T00:00:00Z,2025-05-12T23:00:00Z,124.88,GFS
-12.75,-44.75,2025-05-12T00:00:00Z,2025-05-13T00:00:00Z,104.06,GFS
-12.75,-44.75,2025-05-12T00:00:00Z,2025-05-13T01:00:00Z,0,GFS
-12.75,-44.75,2025-05-12T00:00:00Z,2025-05-13T02:00:00Z,0,GFS
-12.75,-44.75,2025-05-12T00:00:00Z,2025-05-13T03:00:00Z,0,GFS
-12.75,-44.75,2025-05-12T00:00:00Z,2025-05-13T04:00:00Z,0,GFS
-12.75,-44.75,2025-05-12T00:00:00Z,2025-05-13T05:00:00Z,0,GFS
-12.75,-44.75,2025-05-12T00:00:00Z,2025-05-13T06:00:00Z,0,GFS
-12.75,-44.75,2025-05-12T00:00:00Z,2025-05-13T07:00:00Z,0,GFS
-12.75,-44.75,2025-05-12T00:00:00Z,2025-05-13T08:00:00Z,0,GFS
-12.75,-44.75,2025-05-12T00:00:00Z,2025-05-13T09:00:00Z,0,GFS
-12.75,-44.75,2025-05-12T00:00:00Z,2025-05-13T10:00:00Z,10.16,GFS
-12.75,-44.75,2025-05-12T00:00:00Z,2025-05-13T11:00:00Z,56.76,GFS
-12.75,-44.75,2025-05-12T00:00:00Z,2025-05-13T12:00:00Z,124.91,GFS
-12.75,-44.75,2025-05-12T00:00:00Z,2025-05-13T13:00:00Z,654.98,GFS
-12.75,-44.75,2025-05-12T00:00:00Z,2025-05-13T14:00:00Z,722.5,GFS
-12.75,-44.75,2025-05-12T00:00:00Z,2025-05-13T15:00:00Z,767.38,GFS
-12.75,-44.75,2025-05-12T00:00:00Z,2025-05-13T16:00:00Z,788.34,GFS
-12.75,-44.75,2025-05-12T00:00:00Z,2025-05-13T17:00:00Z,785.31,GFS
-12.75,-44.75,2025-05-12T00:00:00Z,2025-05-13T18:00:00Z,759.47,GFS
-12.75,-44.75,2025-05-12T00:00:00Z,2025-05-13T19:00:00Z,435.26,GFS
-12.75,-44.75,2025-05-12T00:00:00Z,2025-05-13T20:00:00Z,322.76,GFS
-12.75,-44.75,2025-05-12T00:00:00Z,2025-05-13T21:00:00Z,223.52,GFS
-12.75,-44.75,2025-05-12T00:00:00Z,2025-05-13T22:00:00Z,167.64,GFS
-12.75,-44.75,2025-05-12T00:00:00Z,2025-05-13T23:00:00Z,134.12,GFS
-12.75,-44.75,2025-05-12T00:00:00Z,2025-05-14T00:00:00Z,111.76,GFS
-12.75,-44.75,2025-05-12T00:00:00Z,2025-05-14T01:00:00Z,0,GFS
-12.75,-44.75,2025-05-12T00:00:00Z,2025-05-14T02:00:00Z,0,GFS
-12.75,-44.75,2025-05-12T00:00:00Z,2025-05-14T03:00:00Z,0,GFS
-12.75,-44.75,2025-05-12T00:00:00Z,2025-05-14T04:00:00Z,0,GFS
-12.75,-44.75,2025-05-12T00:00:00Z,2025-05-14T05:00:00Z,0,GFS
-12.75,-44.75,2025-05-12T00:00:00Z,2025-05-14T06:00:00Z,0,GFS
-12.75,-44.75,2025-05-12T00:00:00Z,2025-05-14T07:00:00Z,0,GFS
-12.75,-44.75,2025-05-12T00:00:00Z,2025-05-14T08:00:00Z,0,GFS
-12.75,-44.75,2025-05-12T00:00:00Z,2025-05-14T09:00:00Z,0,GFS
-12.75,-44.75,2025-05-12T00:00:00Z,2025-05-14T10:00:00Z,9.88,GFS
-12.75,-44.75,2025-05-12T00:00:00Z,2025-05-14T11:00:00Z,55.76,GFS
-12.75,-44.75,2025-05-12T00:00:00Z,2025-05-14T12:00:00Z,123.42,GFS
-12.75,-44.75,2025-05-12T00:00:00Z,2025-05-14T13:00:00Z,648.78,GFS
-12.75,-44.75,2025-05-12T00:00:00Z,2025-05-14T14:00:00Z,716.6,GFS
-12.75,-44.75,2025-05-12T00:00:00Z,2025-05-14T15:00:00Z,761.24,GFS
-12.75,-44.75,2025-05-12T00:00:00Z,2025-05-14T16:00:00Z,780.72,GFS
-12.75,-44.75,2025-05-12T00:00:00Z,2025-05-14T17:00:00Z,775.79,GFS
-12.75,-44.75,2025-05-12T00:00:00Z,2025-05-14T18:00:00Z,749.62,GFS
-12.75,-44.75,2025-05-12T00:00:00Z,2025-05-14T19:00:00Z,430.5,GFS
-12.75,-44.75,2025-05-12T00:00:00Z,2025-05-14T20:00:00Z,317.2,GFS
-12.75,-44.75,2025-05-12T00:00:00Z,2025-05-14T21:00:00Z,219.24,GFS
-12.75,-44.75,2025-05-12T00:00:00Z,2025-05-14T22:00:00Z,164.42,GFS
-12.75,-44.75,2025-05-12T00:00:00Z,2025-05-14T23:00:00Z,131.54,GFS
-12.75,-44.75,2025-05-12T00:00:00Z,2025-05-15T00:00:00Z,109.62,GFS
-12.75,-44.75,2025-05-12T00:00:00Z,2025-05-15T01:00:00Z,0,GFS
-12.75,-44.75,2025-05-12T00:00:00Z,2025-05-15T02:00:00Z,0,GFS
-12.75,-44.75,2025-05-12T00:00:00Z,2025-05-15T03:00:00Z,0,GFS
-12.75,-44.75,2025-05-12T00:00:00Z,2025-05-15T04:00:00Z,0,GFS
-12.75,-44.75,2025-05-12T00:00:00Z,2025-05-15T05:00:00Z,0,GFS
-12.75,-44.75,2025-05-12T00:00:00Z,2025-05-15T06:00:00Z,0,GFS
-12.75,-44.75,2025-05-12T00:00:00Z,2025-05-15T07:00:00Z,0,GFS
-12.75,-44.75,2025-05-12T00:00:00Z,2025-05-15T08:00:00Z,0,GFS
-12.75,-44.75,2025-05-12T00:00:00Z,2025-05-15T09:00:00Z,0,GFS
-12.75,-44.75,2025-05-12T00:00:00Z,2025-05-15T10:00:00Z,9.82,GFS
-12.75,-44.75,2025-05-12T00:00:00Z,2025-05-15T11:00:00Z,55.72,GFS
-12.75,-44.75,2025-05-12T00:00:00Z,2025-05-15T12:00:00Z,123.09,GFS
